City,City URL,Location ID,Store URL,Address,CityTown,Name,PostalCode,StateProvince,Residential,Latitude,Longitude,PhoneNumber
aberdeen,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/aberdeen-nc-grocery.json,09700029,https://www.harristeeter.com/stores/grocery/nc/aberdeen/09700029,11109 US 15 501 Hwy Ste B 1804,Aberdeen,Center Park,28315,NC,False,35.1564511,-79.4167212,(910) 692-7029
albemarle,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/albemarle-nc-grocery.json,09700078,https://www.harristeeter.com/stores/grocery/nc/albemarle/09700078,817 N 1st St,Albemarle,First Street Station,28001,NC,False,35.3619629,-80.1999484,(704) 983-6986
apex,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/apex-nc-grocery.json,09700058,https://www.harristeeter.com/stores/grocery/nc/apex/09700058,750 W Williams St,Apex,Haddon Hall Commons,27539,NC,False,35.7376806,-78.8625298,(919) 362-3782
apex,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/apex-nc-grocery.json,09700496,https://www.harristeeter.com/stores/grocery/nc/apex/09700496,940 US 64 Hwy W,Apex,Lake Pine Plaza,27523,NC,False,35.74561,-78.82196,(919) 380-1422
apex,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/apex-nc-grocery.json,09700335,https://www.harristeeter.com/stores/grocery/nc/apex/09700335,2810 Teachey Place,Apex,Sweetwater Town Center,27523,NC,False,35.7486337,-78.870164,(984) 319-1915
asheville,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/asheville-nc-grocery.json,09700348,https://www.harristeeter.com/stores/grocery/nc/asheville/09700348,136 Merrimon Ave,Asheville,Village at Chestnut Street,28801,NC,False,35.6042089,-82.5539601,(828) 255-1817
boone,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/boone-nc-grocery.json,09700165,https://www.harristeeter.com/stores/grocery/nc/boone/09700165,240 Shadowline Dr,BOONE,Shops at Shadowline,28607,NC,False,36.202342,-81.6593524,(828) 262-3319
burlington,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/burlington-nc-grocery.json,09700345,https://www.harristeeter.com/stores/grocery/nc/burlington/09700345,2727 S Church St,BURLINGTON,New Market Square,27215,NC,False,36.0822928,-79.4835884,(336) 585-1444
belmont,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/belmont-nc-grocery.json,09700386,https://www.harristeeter.com/stores/grocery/nc/belmont/09700386,905 South Point Rd,Belmont,Belmont Town Center,28012,NC,False,35.2356044,-81.0361823,(704) 825-6079
cary,https://www.harristeeter.com/seo-store-files/link-hub/store-details-cities/cary-nc-grocery.json,09700298,https://www.harristeeter.com/stores/grocery/nc/cary/09700298,10140 Green Level Church Rd,Cary,Cary Park Town Center,27519,NC,False,35.8211179,-78.900703,(919) 460-3126
